TD_NG,trial-05_13.coll.txt	Feb,29,2016,15:21:35
TD_NG,trial-05_14.coll.txt	Feb,29,2016,15:21:53
TD_NG,trial-05_15.coll.txt	Feb,29,2016,15:22:11
TD_NG,trial-05_16.coll.txt	Feb,29,2016,15:22:30
TD_NG,trial-05_17.coll.txt	Feb,29,2016,15:22:47
TD_NG,trial-05_18.coll.txt	Feb,29,2016,15:23:05
TD_NG,trial-05_19.coll.txt	Feb,29,2016,15:23:23
TD_NG,trial-05_20.coll.txt	Feb,29,2016,15:23:41
TD_NG,trial-05_21.coll.txt	Feb,29,2016,15:24:00
TD_NG,trial-05_22.coll.txt	Feb,29,2016,15:24:18
TD_NG,trial-05_23.coll.txt	Feb,29,2016,15:24:35
TD_NG,trial-05_24.coll.txt	Feb,29,2016,15:24:53
TD_NG,trial-05_25.coll.txt	Feb,29,2016,15:25:10
TD_NG,trial-05_26.coll.txt	Feb,29,2016,15:25:28
TD_NG,trial-05_27.coll.txt	Feb,29,2016,15:25:46
TD_NG,trial-05_28.coll.txt	Feb,29,2016,15:26:03
TD_NG,trial-05_29.coll.txt	Feb,29,2016,15:26:21
TD_NG,trial-05_30.coll.txt	Feb,29,2016,15:26:39
TD_NG,trial-05_31.coll.txt	Feb,29,2016,15:26:56
TD_NG,trial-05_32.coll.txt	Feb,29,2016,15:27:14
TD_NG,trial-05_33.coll.txt	Feb,29,2016,15:27:31
TD_NG,trial-05_34.coll.txt	Feb,29,2016,15:27:48
TD_NG,trial-05_35.coll.txt	Feb,29,2016,15:28:06
TD_NG,trial-05_36.coll.txt	Feb,29,2016,15:28:23
TD_NG,trial-05_37.coll.txt	Feb,29,2016,15:28:40
TD_NG,trial-05_38.coll.txt	Feb,29,2016,15:28:58
TD_NG,trial-05_39.coll.txt	Feb,29,2016,15:29:15
TD_NG,trial-05_40.coll.txt	Feb,29,2016,15:29:33
TD_NG,trial-05_41.coll.txt	Feb,29,2016,15:29:51
TD_NG,trial-05_42.coll.txt	Feb,29,2016,15:30:08
TD_NG,trial-05_43.coll.txt	Feb,29,2016,15:30:26
TD_NG,trial-05_44.coll.txt	Feb,29,2016,15:30:43
TD_NG,trial-05_45.coll.txt	Feb,29,2016,15:31:00
TD_NG,trial-05_46.coll.txt	Feb,29,2016,15:31:17
TD_NG,trial-05_47.coll.txt	Feb,29,2016,15:31:34
TD_NG,trial-05_48.coll.txt	Feb,29,2016,15:31:52
TD_NG,trial-05_49.coll.txt	Feb,29,2016,15:32:09
TD_NG,trial-06_12.coll.txt	Feb,29,2016,15:38:46
TD_NG,trial-06_13.coll.txt	Feb,29,2016,15:39:05
TD_NG,trial-06_14.coll.txt	Feb,29,2016,15:39:24
TD_NG,trial-06_15.coll.txt	Feb,29,2016,15:39:44
TD_NG,trial-06_16.coll.txt	Feb,29,2016,15:40:03
TD_NG,trial-06_17.coll.txt	Feb,29,2016,15:40:23
TD_NG,trial-06_18.coll.txt	Feb,29,2016,15:40:42
TD_NG,trial-06_19.coll.txt	Feb,29,2016,15:41:02
TD_NG,trial-06_20.coll.txt	Feb,29,2016,15:41:21
TD_NG,trial-06_21.coll.txt	Feb,29,2016,15:41:40
TD_NG,trial-06_22.coll.txt	Feb,29,2016,15:41:59
TD_NG,trial-06_23.coll.txt	Feb,29,2016,15:42:17
TD_NG,trial-06_24.coll.txt	Feb,29,2016,15:42:36
TD_NG,trial-06_25.coll.txt	Feb,29,2016,15:42:54
TD_NG,trial-06_26.coll.txt	Feb,29,2016,15:43:13
TD_NG,trial-06_27.coll.txt	Feb,29,2016,15:43:32
TD_NG,trial-06_28.coll.txt	Feb,29,2016,15:43:51
TD_NG,trial-06_29.coll.txt	Feb,29,2016,15:44:10
TD_NG,trial-06_30.coll.txt	Feb,29,2016,15:44:29
TD_NG,trial-06_31.coll.txt	Feb,29,2016,15:44:48
TD_NG,trial-06_32.coll.txt	Feb,29,2016,15:45:06
